Source Name	Comment[ENA_SAMPLE]	Characteristics[organism]	Characteristics[individual]	Characteristics[age]	Unit[time unit]	Characteristics[sex]	Characteristics[cell type]	Material Type	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[cell type]	Factor Value[age]	Unit[time unit]	Factor Value[sex]
Int_1	ERS989712	Mus musculus	2	42	day	Male	Layer I Interneuron	cell	P-MTAB-47616	P-MTAB-47617	Int_1	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_1	sequencing assay	ERX1230355	Int_1.fastq.gz	Int_1.fastq.gz	ERR1156949	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/009/ERR1156949/ERR1156949.fastq.gz	Layer I Interneuron	42	day	Male
Int_10	ERS989713	Mus musculus	1	16	day	Male	Layer I Interneuron	cell	P-MTAB-47616	P-MTAB-47617	Int_10	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_10	sequencing assay	ERX1230356	Int_10.fastq.gz	Int_10.fastq.gz	ERR1156950	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/000/ERR1156950/ERR1156950.fastq.gz	Layer I Interneuron	16	day	Male
Int_11	ERS989714	Mus musculus	3	15	day	Male	Layer I Interneuron	cell	P-MTAB-47616	P-MTAB-47617	Int_11	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_11	sequencing assay	ERX1230357	Int_11.fastq.gz	Int_11.fastq.gz	ERR1156951	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/001/ERR1156951/ERR1156951.fastq.gz	Layer I Interneuron	15	day	Male
Int_12	ERS989715	Mus musculus	1	16	day	Male	Layer I Interneuron	cell	P-MTAB-47616	P-MTAB-47617	Int_12	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_12	sequencing assay	ERX1230358	Int_12.fastq.gz	Int_12.fastq.gz	ERR1156952	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/002/ERR1156952/ERR1156952.fastq.gz	Layer I Interneuron	16	day	Male
Int_13	ERS989716	Mus musculus	3	15	day	Male	Layer I Interneuron	cell	P-MTAB-47616	P-MTAB-47617	Int_13	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_13	sequencing assay	ERX1230359	Int_13.fastq.gz	Int_13.fastq.gz	ERR1156953	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/003/ERR1156953/ERR1156953.fastq.gz	Layer I Interneuron	15	day	Male
Int_14	ERS989717	Mus musculus	3	15	day	Male	Layer I Interneuron	cell	P-MTAB-47616	P-MTAB-47617	Int_14	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_14	sequencing assay	ERX1230360	Int_14.fastq.gz	Int_14.fastq.gz	ERR1156954	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/004/ERR1156954/ERR1156954.fastq.gz	Layer I Interneuron	15	day	Male
Int_17	ERS989718	Mus musculus	1	16	day	Male	Layer I Interneuron	cell	P-MTAB-47616	P-MTAB-47617	Int_17	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_17	sequencing assay	ERX1230361	Int_17.fastq.gz	Int_17.fastq.gz	ERR1156955	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/005/ERR1156955/ERR1156955.fastq.gz	Layer I Interneuron	16	day	Male
Int_18	ERS989719	Mus musculus	2	42	day	Male	Layer I Interneuron	cell	P-MTAB-47616	P-MTAB-47617	Int_18	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_18	sequencing assay	ERX1230362	Int_18.fastq.gz	Int_18.fastq.gz	ERR1156956	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/006/ERR1156956/ERR1156956.fastq.gz	Layer I Interneuron	42	day	Male
Int_2	ERS989720	Mus musculus	2	42	day	Male	Layer I Interneuron	cell	P-MTAB-47616	P-MTAB-47617	Int_2	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_2	sequencing assay	ERX1230363	Int_2.fastq.gz	Int_2.fastq.gz	ERR1156957	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/007/ERR1156957/ERR1156957.fastq.gz	Layer I Interneuron	42	day	Male
Int_20	ERS989721	Mus musculus	1	16	day	Male	Layer I Interneuron	cell	P-MTAB-47616	P-MTAB-47617	Int_20	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_20	sequencing assay	ERX1230364	Int_20.fastq.gz	Int_20.fastq.gz	ERR1156958	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/008/ERR1156958/ERR1156958.fastq.gz	Layer I Interneuron	16	day	Male
Int_21	ERS989722	Mus musculus	5	70	day	Male	Layer I Interneuron	cell	P-MTAB-47616	P-MTAB-47617	Int_21	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_21	sequencing assay	ERX1230365	Int_21.fastq.gz	Int_21.fastq.gz	ERR1156959	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/009/ERR1156959/ERR1156959.fastq.gz	Layer I Interneuron	70	day	Male
Int_22	ERS989723	Mus musculus	6	48	day	Male	Layer 2/3 Pyramidal	cell	P-MTAB-47616	P-MTAB-47617	Int_22	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_22	sequencing assay	ERX1230366	Int_22.fastq.gz	Int_22.fastq.gz	ERR1156960	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/000/ERR1156960/ERR1156960.fastq.gz	Layer 2/3 Pyramidal	48	day	Male
Int_23	ERS989724	Mus musculus	3	15	day	Male	Layer I Interneuron	cell	P-MTAB-47616	P-MTAB-47617	Int_23	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_23	sequencing assay	ERX1230367	Int_23.fastq.gz	Int_23.fastq.gz	ERR1156961	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/001/ERR1156961/ERR1156961.fastq.gz	Layer I Interneuron	15	day	Male
Int_24	ERS989725	Mus musculus	3	15	day	Male	Layer 2/3 Pyramidal	cell	P-MTAB-47616	P-MTAB-47617	Int_24	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_24	sequencing assay	ERX1230368	Int_24.fastq.gz	Int_24.fastq.gz	ERR1156962	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/002/ERR1156962/ERR1156962.fastq.gz	Layer 2/3 Pyramidal	15	day	Male
Int_25	ERS989726	Mus musculus	2	42	day	Male	Layer I Interneuron	cell	P-MTAB-47616	P-MTAB-47617	Int_25	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_25	sequencing assay	ERX1230369	Int_25.fastq.gz	Int_25.fastq.gz	ERR1156963	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/003/ERR1156963/ERR1156963.fastq.gz	Layer I Interneuron	42	day	Male
Int_26	ERS989727	Mus musculus	3	15	day	Male	Layer I Interneuron	cell	P-MTAB-47616	P-MTAB-47617	Int_26	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_26	sequencing assay	ERX1230370	Int_26.fastq.gz	Int_26.fastq.gz	ERR1156964	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/004/ERR1156964/ERR1156964.fastq.gz	Layer I Interneuron	15	day	Male
Int_27	ERS989728	Mus musculus	9	68	day	Female	Layer I Interneuron	cell	P-MTAB-47616	P-MTAB-47617	Int_27	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_27	sequencing assay	ERX1230371	Int_27.fastq.gz	Int_27.fastq.gz	ERR1156965	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/005/ERR1156965/ERR1156965.fastq.gz	Layer I Interneuron	68	day	Female
Int_28	ERS989729	Mus musculus	6	48	day	Male	Layer 2/3 Pyramidal	cell	P-MTAB-47616	P-MTAB-47617	Int_28	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_28	sequencing assay	ERX1230372	Int_28.fastq.gz	Int_28.fastq.gz	ERR1156966	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/006/ERR1156966/ERR1156966.fastq.gz	Layer 2/3 Pyramidal	48	day	Male
Int_29	ERS989730	Mus musculus	9	68	day	Female	Layer I Interneuron	cell	P-MTAB-47616	P-MTAB-47617	Int_29	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_29	sequencing assay	ERX1230373	Int_29.fastq.gz	Int_29.fastq.gz	ERR1156967	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/007/ERR1156967/ERR1156967.fastq.gz	Layer I Interneuron	68	day	Female
Int_3	ERS989731	Mus musculus	2	42	day	Male	Layer I Interneuron	cell	P-MTAB-47616	P-MTAB-47617	Int_3	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_3	sequencing assay	ERX1230374	Int_3.fastq.gz	Int_3.fastq.gz	ERR1156968	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/008/ERR1156968/ERR1156968.fastq.gz	Layer I Interneuron	42	day	Male
Int_30	ERS989732	Mus musculus	2	42	day	Male	Layer I Interneuron	cell	P-MTAB-47616	P-MTAB-47617	Int_30	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-47618	Rickard Sandberg	Int_30	sequencing assay	ERX1230375	Int_30.fastq.gz	Int_30.fastq.gz	ERR1156969	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR115/009/ERR1156969/ERR1156969.fastq.gz	Layer I Interneuron	42	day	Male
