"","cell_1","cell_2","cell_3","cell_4","cell_5","cell_6","cell_7","cell_8","cell_9","cell_10","cell_11","cell_12","cell_13","cell_14","cell_15","cell_16","cell_17","cell_18","cell_19","cell_20"
"A1BG",0,0,0,0,0.539472,0,0,0,0,0.04669015,1.584885,0,0,0.075742,0,0,0,0,0,0
"A1BG-AS1",0.538414,1.29439,0,0.840925,0.7544835,0.160942,0.3548485,0.4697185,0.068225,0.3293775,0.769455,2.6404,0,0.1415907,0.6513975,0.328402,0.6045105,0,0,23.4517
"A1CF",0.14846,0,0,0,0.01600415,0.016266,0.0229042,0.104175,0,0.2672625,1.225413,0.01166605,0,0.00477259,0.0612801,0,0.0927025,0,0.0064525,0
"A2M",0.0805522,0,3.80648,0,0,0,0,1.427255,0,0,0,0,0.0264745,0.0143014,0,0,0.864233,0,0,0.380374
"A2M-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0810485,0,0,0,0,0,0
"A2ML1",0.0982259,0.176565,0.181819,1.201135,0.981439,0.062154,0.412375,0.8170635,0.05185415,0.4251025,2.09761,0.3732425,0.191712,2.427715,0.282954,0.236553,0.78618,0,0.225352,0.4562325
"A2MP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A3GALT2",0,0,0,0,0,0,0.1767355,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4GALT",0,0,0,0,0.074757,0,0,0,0,0,0.02547525,0,0,0,0,0,0,0,1.27386,0
"A4GNT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAAS",68.346,0,0,0,0.0699995,0,0,0.0643495,4.530155,1.91952,0.09293205,0,0,0,0,0.100767,0.05935,0,23.7203,0
"AACS",0,0,0,0,0.149489,0,0.01361305,0.1385665,0,0,2.249735,0,0,0.746365,0.03038205,29.45855,2.37928,0,0,0.0256211
"AACSP1",0,0,0,0,0,0,0,0,0,0,0.500593,0,0,0,0,0,0,0,0,0
"AADAC",0,0,0,0,0,0,0,0,0,0,0.2226155,0,0,0,0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL2-AS1",0,0,0,1.556655,3.30665,0,0,0.1665925,0,0,1.89655,0,0,0,0.8142315,0,0.4610995,0,1.1793075,25.73435
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0,0.200201,0,0,0,0,0,0.184332,0,0,0
"AADACP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
