run_label,cell_id,Cell type,Vrest,R input (MOhm),Tau (ms),SAG index,Adaptation 1stlast 2X THR,Adaptation 2ndlast 2XTHR,Adaptation 3ndlast 2XTHR,Adaptation 4thlast 2XTHR,Adaptation 5thlast 2XTHR,Avg frequency 2X THR (Hz),max Frequency (Hz),max AP change 2X THR,AP 1 vs steady0state,AP 2 vs steady0state,AP 3 vs steady0state,AP 4 vs steady0state,AP 5 vs steady0state,OneAP spike1,Rheobasic current step,Delay of 1st spike (ms),AP threshold (mV),Max Upstroke (mV/ms),Max Upstroketime (ms),AP risetime (ms),AP ampl (mV),AP halfwidth (ms),Max Downstroke (mV/ms),Max Downstroketime (ms),AP duration (ms),AP decaytime (ms),AHP risetime (ms),AHP ampl (mV),AHP half0width (ms),Spike overshoot (mV),ADP (mV),CRamp spike1,Injected current to THR (pA),AP threshold (mV),Max Upstroke (mV/ms),Max Upstroketime (ms),AP risetime (ms),AP ampl (mV),AP halfwidth (ms),Max Downstroke (mV/ms),Max Downstroketime (ms),AP duration (ms),AP decaytime (ms),AHP risetime (ms),AHP ampl (mV),AHP half0width (ms),Spike overshoot (mV),ADP (mV),2x THR spike1,AP threshold (mV),Max Upstroke (mV/ms),Max Upstroketime (ms),AP risetime (ms),AP ampl (mV),AP halfwidth (ms),Max Downstroke (mV/ms),Max Downstroketime (ms),AP duration (ms),AP decaytime (ms),AHP risetime (ms),AHP ampl (mV),AHP half0width (ms),2x THR spike2,AP threshold (mV),Max Upstroke (mV/ms),Max Upstroketime (ms),AP risetime (ms),AP ampl (mV),AP halfwidth (ms),Max Downstroke (mV/ms),Max Downstroketime (ms),AP duration (ms),AP decaytime (ms),AHP risetime (ms),AHP ampl (mV),AHP half0width (ms),2x THR spike3,AP threshold (mV),Max Upstroke (mV/ms),Max Upstroketime (ms),AP risetime (ms),AP ampl (mV),AP halfwidth (ms),Max Downstroke (mV/ms),Max Downstroketime (ms),AP duration (ms),AP decaytime (ms),AHP risetime (ms),AHP ampl (mV),AHP half0width (ms)
A1,C1,T1,-62.04402233,388.9267161689,55.1522926547,0.9585101692,2.7652733119,2.0873786408,2.4157303371,1.9953596288,1.4802065404,33.3333333333,0,0.8189300303,0.8285322323,0.9126624624,0.9269490173,0.9151515552,0.9587301908,,50,65,-28.89011964,495.5909028,0.75,0.85,75.8717134595,0.7,-120.76901272,1.55,1.1,10.6,9.65,19.6171402931,44,46.9815938195,0,,55,-27.04416752,466.8065906,0.6,0.7,75.5275525153,0.7,-113.8857752,1.5,1.6,13.6,13.95,22.0888406038,45,48.4833849953,0,,-31.51825234,511.8603074,0.8,0.9,79.5323289931,0.6,-142.67010614,1.15,1.2,1.85,0.9,8.8543072343,4.45,,-26.04297712,409.237965,0.25,0.35,70.5528743565,0.75,-96.3649014,0.95,1.4,2.7,1.6,14.2044350505,12.1,,-26.10555083,397.974532,0.2,0.3,70.08356601,0.75,-83.8499749,0.8,1.4,5.15,4,14.6424584091,13.35
A4,C21,T1,-58.54769608,357.3521401057,36.6720241569,0.9722658918,1.4886877828,0.9138888889,0.7075268817,0.864651774,1.0822368421,30.6666666667,65.3333333333,0.9869496725,1.001219994,0.9815474436,1.0183404415,1.0287048995,0.9974126827,,90,50,-26.95268929,318.5743,0.15,0.4,65.2406699955,0.8,-78.4968026,1.15,1.25,8.45,7.45,20.3510522842,30.4,38.2879807055,0,,90,-26.12130135,309.1252642,0.15,0.4,64.921643585,0.85,-71.46328688,1.1,1.55,7.9,6.7,21.9784229994,37,38.800342235,,,-25.15983,336.5222364,0.1,0.35,61.3805055618,0.6,-99.61137316,0.7,1.1,2.55,1.75,16.6796259582,12.55,,-26.04054451,308.3755564,0.15,0.4,62.7867449075,0.75,-75.94387978,1.1,1.4,4.55,3.5,17.3714980483,19.3,,-24.46363285,293.2234202,0.1,0.4,60.2434836328,0.85,-72.27019406,1,1.45,4,2.9,19.203171134,19.95
A5,C30,T1,-62.32824235,384.9990391839,47.5177933407,0.9852687551,1.8452138493,1.4901315789,1.2671328671,1.2226720648,1.1874180865,25.3333333333,0,0.9131387375,0.9071609778,1.010418805,0.9933123158,0.9717197464,0.9676760616,,80,100,-27.11926565,266.8630332,0.25,0.5,69.5541501045,1.4,-44.36530056,1.55,2.15,14.1,12.3,20.7284986973,65.1,42.4348844545,0,,80,-25.64005718,262.1725342,0.25,0.5,68.473700434,1.4,-42.62186586,2.1,2.25,14.95,13.05,22.434592247,57.05,42.833643254,,,-30.20122439,317.988405,0.25,0.45,74.4018815458,0.8,-78.94527168,0.75,1.3,2.4,1.4,10.9763927758,6.05,,-24.71982479,243.1028708,0.2,0.45,65.4254108667,1.15,-55.28654904,1.7,1.8,5,3.5,15.8368125558,19.95,,-25.58252752,250.8603968,0.25,0.5,66.8169148266,1.3,-43.13476384,1.65,2.05,7.65,5.95,15.7927088439,24.65
A6,C34 ,T1,-60.6569659,256.5471867705,41.6870860806,0.9782292001,2.4198606272,1.7582278481,1.6169965076,1.4002016129,1.4187946885,20,0,0.7967405037,0.8076568693,0.972777777,0.9413978688,0.9599780653,0.9652701656,,85,100,-28.51467371,404.8577416,0.25,0.45,72.2423903644,1.1,-65.07759914,1.5,1.75,14.05,12.6,19.7110027075,75.05,43.7277166544,0,,95,-28.01407665,416.7469032,0.25,0.45,73.1810070574,1.1,-70.70928812,1.6,1.65,11.1,9.75,18.0214866996,50.55,45.1669304074,,,-28.32694888,476.1927644,0.2,0.4,72.2423866391,0.85,-88.23019628,1,1.3,2.15,1.15,11.138278991,5.25,,-27.41961718,300.3581288,0.3,0.5,65.5781924725,1.1,-66.95484742,1.5,1.65,5.55,4.2,11.4824399352,20.4,,-25.66752747,315.3760452,0.25,0.45,64.7647213191,1.15,-63.20036948,1.6,1.75,6.1,4.65,14.7363208234,26
A7,C44,T1,-48.59752918,332.9885429143,50.389064675,0.9761712354,2.176344086,1.5014836795,1.3547523427,1.1948051948,1.0596858639,22.6666666667,36,0.8850176835,0.8833224179,0.9929756944,0.9616155899,0.9648759492,0.9650943682,,60,60,-26.78130358,302.6671428,0.2,0.45,74.2392651737,0.95,-72.04230874,0.7,1.65,16.25,14.9,13.9614008367,60.6,47.4579615937,0,,65,-23.28043222,260.2488734,0.2,0.5,70.2745653689,1.3,-48.67374898,1.05,2.2,14.3,12.45,19.3537846208,61.55,46.9941331489,,,-25.71154922,320.107718,0.15,0.4,72.7864801884,0.85,-86.8344307,0.7,1.35,3,1.9,8.3738602698,14.7,,-22.51156956,238.5186008,0.15,0.45,65.4923543334,1.1,-52.18673498,0.85,1.8,9.3,7.85,13.9289647341,25.75,,-23.3642289,249.9493118,0.2,0.5,67.420579493,1.2,-51.86527968,0.85,1.95,9.9,8.3,14.0358060598,27.05
A11,C68 ,T1,-52.71682938,461.6754167233,52.0881926864,0.9764183312,2.1153846154,1.8629032258,1.5757162347,1.5843621399,1.3949275362,21.3333333333,46.6666666667,0.8944911597,0.8941799101,0.9883041198,0.983230643,0.9872852037,1.0006965905,,40,40,-28.67110983,334.774144,0.1,0.45,70.6780217588,1.15,-54.4399023,0.8,1.95,23.85,22.25,11.4198662341,103.55,42.0069119288,0,,50,-28.89011964,307.2413476,0.15,0.5,71.3037662208,1.3,-48.80821332,0.95,2.1,26.6,24.85,16.6761353612,88.85,42.4136465808,0,,-29.73487765,362.307001,0.15,0.5,73.2435807586,1.05,-63.82610648,0.85,1.8,12.75,11.3,5.4439902306,16.8,,-27.88892552,288.4689532,0.15,0.55,68.2063233107,1.25,-49.4339317,0.7,2.1,15,13.3,9.2610418797,24.05,,-26.48099676,289.0947088,0.1,0.45,66.9548325241,1.25,-43.8022241,0.95,2.1,14.1,12.35,11.3572925329,29.25
A1,C4,T2,-49.53945203,144.1598553441,50.1985190733,0.9403336348,3.6775362319,3.3061889251,3.284789644,2.6025641026,2.2065217391,29.3333333333,58.6666666667,0.8738916343,0.8791461716,0.8986237112,0.9266182015,0.9422738473,0.9452683777,,20,100,-30.07903859,272.1995488,0.25,0.5,73.6503154039,0.6,-127.65221298,0.7,1,19.5,18.85,12.9842311144,91.9,43.5712768139,1.9,,15,-33.70836541,424.8815844,0.25,0.45,83.5371054709,0.65,-132.03240932,0.65,1.1,1.85,1.1,9.6990652382,67.45,49.8287400609,0,,-29.2655693,262.1876168,0.2,0.45,68.8007846475,0.55,-142.04436914,0.85,1.2,1.6,0.9,10.7628330588,3.35,,-28.32694888,227.145846,0.4,0.65,66.5480978787,0.65,-121.39474974,1.15,1.35,1.05,0.7,9.8242126405,5.05,,-25.8552523,221.5141152,0.25,0.5,64.0138275921,0.65,-106.37683794,0.95,1.3,1.6,0.75,11.2634301186,8.55
A4,C20,T2,-51.19416133,181.6257596962,46.0677572606,0.9605316337,5.1218487395,4.3380782918,3.7857142857,3.3861111111,2.8283062645,24,56,0.9580127815,0.9615767795,0.9895698051,0.9892340357,0.9935429204,0.9929705206,,110,80,-25.14010832,462.416578,0.25,0.45,85.2412134409,0.55,-157.75572508,0.6,0.95,1.8,1.15,16.2983946502,54.65,60.1011051209,0.9,,100,-26.52537987,448.5248216,0.25,0.45,88.0165323615,0.6,-131.94575906,0.65,1.35,1.7,0.75,14.9267688394,38.5,61.4911524915,,,-24.36466679,499.5902442,0.2,0.3,84.9317125976,0.45,-217.5578474,0.5,0.85,1,0.4,16.53848961,3.1,,-21.09836206,452.0432464,0.2,0.35,80.2349634469,0.45,-175.00147224,0.5,0.9,1.15,0.55,17.6335275173,5.65,,-20.58964945,391.025031,0.2,0.4,79.7429289669,0.5,-162.08250076,0.55,1.05,1.35,0.65,16.4256710559,7.9
A4,C22,T2,-51.58905338,257.8971065961,46.0075975111,0.923488132,3.3670588235,2.9204081633,2.5783783784,2.1714719272,1.8978779841,21.3333333333,64,0.9059605377,0.9062776805,0.9443209262,0.9645009684,0.9647254579,0.9807561687,,50,100,-29.54131901,469.9620418,0.2,0.35,83.0565541983,0.6,-128.67107988,0.6,1.05,11.7,10.9,14.5189426839,73.85,53.5152351883,3.2,,55,-29.79738057,484.976396,0.2,0.35,84.08992365,0.6,-127.2713393,0.6,1.25,17.1,16.15,14.6789178252,72.5,54.29254308,,,-29.55477104,498.1110058,0.2,0.3,83.3414830267,0.45,-177.17031762,0.5,0.9,1.2,0.55,13.5746225715,8.7,,-26.00072861,436.7728158,0.15,0.3,78.0234336853,0.5,-143.28189194,0.5,1,1.5,0.75,14.8306302726,16.3,,-26.10501811,431.261363,0.2,0.35,77.2484913468,0.55,-128.6777854,0.6,1.15,1.55,0.7,13.4271346033,20.15
A4,C23,T2,-54.10615771,256.7240206655,45.4923557736,0.9163371393,3.5630498534,2.9066985646,2.3500967118,1.9255150555,1.8634969325,24,64,0.9172067477,0.9133346386,0.9443202078,0.9538453745,0.959370823,0.9705300612,,40,165,-33.42752695,577.6050222,0.15,0.35,85.8414433897,0.45,-178.30280588,0.5,0.8,13.5,12.95,16.249217093,84.85,52.4139164397,2.3,,50,-32.28325561,557.8856916,0.15,0.35,86.6795256734,0.5,-156.62297606,0.5,1.05,13.35,12.6,17.601147294,68.1,54.3962700634,,,-33.96862537,584.1834656,0.2,0.3,86.2098410726,0.4,-190.91349096,0.5,0.95,1.15,0.45,15.0455906987,6.9,,-30.44177383,495.6861212,0.2,0.35,81.2969468534,0.5,-172.88889736,0.5,0.95,1.15,0.5,16.8585032225,12.55,,-30.40391743,507.0019264,0.2,0.35,80.8511078358,0.55,-148.9558816,0.55,1.1,1.65,0.85,15.7636590302,17.4
